time,temp
1940,258.7194917315571
1941,258.26487729337936
1942,258.71722910045725
1943,257.6070023915517
1944,260.51849629212154
1945,258.4000912602738
1946,258.64757323630147
1947,259.1835557408679
1948,257.67219618055606
1949,258.667165305937
1950,259.6641054920096
1951,256.9349809942925
1952,259.39643085837747
1953,259.5177955650676
1954,261.6262435365294
1955,259.0599679805929
1956,261.56336600409776
1957,261.1670562899531
1958,259.8587202328769
1959,261.02880135388085
1960,260.81469394581103
1961,259.79235068036496
1962,257.38776401027434
1963,256.59000107077566
1964,259.30934593351634
1965,258.2895442203199
1966,257.29165127054745
1967,260.03972414041164
1968,257.61453192850524
1969,260.24964044178085
1970,260.6113220022821
1971,259.6962892191785
1972,264.0203209642538
1973,260.1313099726035
1974,263.34941132077796
1975,259.73000535274093
1976,262.26981154371606
1977,260.37153849201
1978,259.63454843379014
1979,259.5325419977158
1980,259.80463384449035
1981,259.8328959863022
1982,260.09028710274094
1983,260.81080782305963
1984,264.5368416074667
1985,261.78464588584495
1986,261.2055351803655
1987,260.28779355707763
1988,258.2274265960838
1989,260.5268908949773
1990,263.9395508481728
1991,261.72609031621016
1992,262.11642550318726
1993,261.1771213801362
1994,261.28009332420055
1995,261.082511043379
1996,262.7104635803733
1997,261.46578283904
1998,261.41379734588975
1999,263.4729510091328
2000,263.339163653234
2001,262.93290605593563
2002,262.78567800799044
2003,261.5647866963468
2004,263.48366334927067
2005,264.5495735011431
2006,265.2994681529674
2007,264.32051705821914
2008,263.0137610894815
2009,263.6068712522839
2010,262.8885721232878
2011,263.4388283538805
2012,265.00036566142984
2013,263.06249878653034
2014,264.26414909588993
2015,264.8692261894987
2016,267.6322700705821
2017,264.3039141221461
2018,265.77346930022804
2019,263.4417203687216
2020,263.0260869933963
2021,264.40962295319633
2022,264.8839561301374
2023,265.3175698390398
2024,264.9268400569222
2025,265.8462827054802
