time,temp
1940,284.96675097677627
1941,285.1595940525108
1942,285.7890615821913
1943,287.32059683789856
1944,286.33111507968977
1945,286.4321152739735
1946,286.1372229566204
1947,286.310741680365
1948,285.66750730760486
1949,286.9710960947487
1950,287.84506052054746
1951,286.83093658789943
1952,286.89709079121013
1953,286.82426888241974
1954,286.0387557785381
1955,286.60853458104924
1956,285.8471971163475
1957,286.6661455114166
1958,287.29799760844963
1959,287.31057846461226
1960,286.8858510439439
1961,287.8834767442923
1962,286.63726193379
1963,285.6742157990875
1964,286.40794274703995
1965,285.87516497602695
1966,286.8128812442917
1967,287.07276999200883
1968,286.56645879781405
1969,286.74790417694174
1970,286.6601952499993
1971,286.87919879680464
1972,286.72878738388
1973,286.99791141210073
1974,287.0459733744291
1975,287.02088862214674
1976,286.6689126423032
1977,286.7468675844754
1978,286.00803559018226
1979,286.5601471244296
1980,286.0423214162116
1981,286.50880275228315
1982,287.3156421552519
1983,286.90703045547855
1984,286.02071283925324
1985,286.5099002831057
1986,286.6709084908688
1987,286.80632484703233
1988,287.2521803142082
1989,286.5768999006849
1990,287.3308360627853
1991,286.5523543207766
1992,287.5011006864761
1993,287.4896221609589
1994,288.3257255753421
1995,287.05640575228233
1996,287.27018934084595
1997,288.2781728287668
1998,288.1584774965748
1999,287.98474459703215
2000,288.2419483276415
2001,287.6676252522836
2002,287.96731409817335
2003,288.555384086758
2004,287.6979287226769
2005,287.09036213927
2006,287.97210262328775
2007,288.4109235536534
2008,288.3892496391164
2009,288.4834314691774
2010,287.09235063698395
2011,288.288594366438
2012,288.5589888080596
2013,287.7402325867577
2014,288.85731842808246
2015,288.625643390411
2016,288.1026471664395
2017,288.3727318025122
2018,288.55691160958884
2019,288.6585386472597
2020,288.524843813751
2021,287.8548103013697
2022,289.1419437705466
2023,288.93809819863077
2024,288.42261589253053
2025,288.375713409818
