time,temp
1940,297.33143959016337
1941,297.8171538550214
1942,297.42064385159813
1943,298.06049796004584
1944,297.78763543829734
1945,297.3856340684924
1946,297.608289394978
1947,297.67541586187184
1948,297.1897323258196
1949,297.9401437922377
1950,298.12494718835694
1951,297.4215645993144
1952,297.42939996015497
1953,297.32643035159856
1954,297.3733177157538
1955,297.09048536301515
1956,297.20476262295045
1957,297.51019448173565
1958,297.7759649920086
1959,297.56548215410885
1960,297.47052468806953
1961,297.27360959475044
1962,297.09157299200757
1963,297.4937789805936
1964,297.83498585724016
1965,297.7037810479446
1966,297.9861489132426
1967,297.14010432420156
1968,297.3778030236783
1969,297.5556256780816
1970,297.64814344063825
1971,297.3092480422372
1972,297.5948569398898
1973,297.86549126027256
1974,297.20019833561577
1975,297.20634768607374
1976,297.0816735029602
1977,297.49942712785236
1978,297.5770064052502
1979,297.82480938470405
1980,297.6868492190335
1981,297.6930295331038
1982,297.73778174771644
1983,298.1654851894968
1984,297.554641360429
1985,297.4754688470314
1986,297.76788818493037
1987,298.26852219748906
1988,297.9173863171683
1989,297.9498819714608
1990,298.1330772397252
1991,297.94368745091344
1992,297.7981277231317
1993,297.93934273401794
1994,297.9053376917805
1995,298.0185039600441
1996,297.7491130088782
1997,298.17284073972843
1998,298.7050726369852
1999,297.75968551369795
2000,297.78908093010216
2001,297.8590659543386
2002,298.21964142237516
2003,298.21566741438346
2004,298.275834441029
2005,298.5132419828758
2006,298.20253054566024
2007,298.3592819942923
2008,298.282066635929
2009,298.44212334588974
2010,298.68435149315104
2011,298.44538199771677
2012,298.4971895355204
2013,298.6068443047937
2014,298.6478199611877
2015,298.85215793607284
2016,299.12188198201426
2017,298.69548066438244
2018,298.65678116438283
2019,298.97504639497873
2020,299.11218112135623
2021,299.0385739691778
2022,298.9766046267118
2023,299.1142492910958
2024,300.06000107582105
2025,299.2969525753413
