time,temp
1940,292.4189011236342
1941,292.39109493150664
1942,292.8169912842458
1943,293.44000287442987
1944,293.23114375569145
1945,293.386227747716
1946,293.5729714680369
1947,293.62087021917796
1948,293.34121329121183
1949,293.38147340296894
1950,293.99269187557184
1951,293.52882139041077
1952,293.3656774032341
1953,293.21706157762577
1954,293.3867235787673
1955,293.95620138584593
1956,294.0045759221306
1957,293.3368374771682
1958,292.7007036358445
1959,292.7131361244275
1960,293.10666140938105
1961,293.56642277283015
1962,293.2518794098162
1963,293.1301476278534
1964,293.6851416905738
1965,293.1730976050214
1966,293.1410344611866
1967,293.5484351792221
1968,293.54691928847905
1969,293.34625351255664
1970,293.73486888926914
1971,293.9575507990884
1972,293.3480000751356
1973,293.483017924657
1974,293.8610492899542
1975,293.7135979897263
1976,293.6957546049638
1977,292.9438025844747
1978,292.8756476426926
1979,292.98620800913227
1980,293.31415939435374
1981,293.50995672831084
1982,293.2705176940641
1983,293.2001344726029
1984,292.801421700819
1985,293.9110156883555
1986,293.54872562785397
1987,292.81971637557183
1988,293.8496116917119
1989,294.228015624429
1990,293.8167808892698
1991,293.47239266210045
1992,293.57401151411693
1993,293.12490259475015
1994,293.42941485730773
1995,293.61301249657595
1996,293.90497158583935
1997,293.5687101404119
1998,293.46929782648294
1999,293.9442092385843
2000,294.0231834312379
2001,293.7857844383555
2002,293.65344992579946
2003,293.7078378025128
2004,293.6642855999544
2005,293.2254489452062
2006,294.0555491643837
2007,293.8000877842466
2008,294.089498640711
2009,294.1315994474885
2010,294.0856924394978
2011,294.6329154121012
2012,293.5138970913029
2013,293.4843300662091
2014,293.8552404029676
2015,293.4690074029664
2016,293.6800799772312
2017,293.99980406050236
2018,294.2259490182631
2019,293.4595842100457
2020,294.40244119990865
2021,294.9278762385843
2022,294.5431252294515
2023,293.8812949748845
2024,293.63935848133036
2025,294.4585932785383
