Entity,HomicideRate,Gini,Share10,GDPperCapita
Albania,2.1239898,0.4823,34.48,16457.787
Argentina,5.3527217,0.6113,45.11,23877.094
Australia,0.8584594,0.4819,34.06,57260.465
Brazil,22.870605,0.7033,59.08,17327.516
Bulgaria,0.9951466,0.5308,41.97,28521.324
Canada,2.004092,0.4967,35.18,54092.88
Chile,5.756139,0.7187,59.05,26248.562
Colombia,22.642704,0.7348,61.22,15861.5
Costa Rica,11.322284,0.7167,56.08,22211.861
Croatia,1.0116445,0.4705,34.71,32493.312
Cyprus,1.1518548,0.4558,33.69,43402.54
Czechia,0.72984886,0.3809,28.97,45119.938
Denmark,0.8231116,0.4394,33.24,65744.44
Dominican Republic,8.729776,0.643,49.86,19545.41
Ecuador,7.8194175,0.6227,46.78,12440.326
El Salvador,21.508745,0.6412,47.71,9692.449
Estonia,3.1586797,0.5255,40.76,40920.527
Finland,1.7541918,0.4386,33.12,55424.86
France,1.0499917,0.4541,33.84,49311.332
Germany,0.9350856,0.4886,37.45,60203.29
Greece,0.72901493,0.4452,32.64,30487.113
Hungary,0.82055855,0.4294,32.89,36119.52
India,2.9352973,0.6302,58.02,7399.531
Ireland,0.6221643,0.477,36.85,101968.555
Latvia,3.6820333,0.4914,35.51,34225.9
Lithuania,3.6126075,0.5048,36.67,43091.797
Luxembourg,0.47573966,0.4607,33.45,129865.63
Malta,1.3508128,0.4706,35.33,50387.82
Mexico,29.001005,0.7333,61.63,19728.482
Moldova,3.0301738,0.4869,35.06,13559.26
Montenegro,2.9608428,0.5054,35.05,20904.688
Netherlands,0.6860682,0.4122,29.37,64862.19
New Zealand,1.0256623,0.4819,36.19,46266.395
Norway,0.576286,0.3959,30.23,86096.055
Peru,5.795013,0.7624,65.65,13609.6
Poland,0.6968639,0.4841,37.7,37852.8
Portugal,0.7810602,0.4742,35.84,36852.23
Romania,1.4490161,0.5397,41.14,35283.754
Serbia,1.2160146,0.5098,37.86,21479.168
Slovakia,1.1548988,0.3785,26.78,36216.4
Slovenia,0.5232067,0.4075,29.57,42463.562
South Korea,0.59392405,0.5013,37.39,49374.094
Spain,0.6942189,0.4479,34.12,41553.45
Sweden,1.197641,0.4038,30.49,59975.363
Switzerland,0.5439449,0.4127,30.84,77324.89
Turkey,2.4903681,0.6135,53.37,28976.719
United Kingdom,0.9457794,0.4663,35.79,47158.984
United States,6.3546557,0.5739,44.61,67342.07
Uruguay,10.032457,0.5681,45.04,27788.186
World,5.286739,0.6755,53.49,18811.494
