Entity,HomicideRate,Gini,Share10,GDPperCapita
Albania,2.2530255,0.4826,34.48,16761.193
Argentina,5.131915,0.5822,43.7,26629.553
Australia,0.8829515,0.4817,32.91,58048.617
Brazil,21.24456,0.675,56.45,18018.621
Bulgaria,1.1898842,0.5308,41.97,29150.043
Canada,1.8235747,0.483,34.38,57583.848
Colombia,23.399061,0.7091,59.69,17336.771
Costa Rica,11.261005,0.6904,55.16,23364.783
Croatia,0.82782817,0.4705,34.71,35122.85
Cyprus,1.1657988,0.4558,33.69,45454.363
Czechia,0.86216086,0.3809,28.97,47763.617
Denmark,0.85990167,0.4394,33.24,67131.47
Dominican Republic,9.417991,0.6491,52.05,21451.287
Ecuador,6.8454356,0.5882,43.66,13870.489
El Salvador,38.538696,0.6164,44.6,10543.938
Estonia,1.9595703,0.5255,40.76,42218.96
Finland,1.4669238,0.4386,33.12,56922.49
France,1.1456051,0.4557,34.06,53448.555
Germany,0.7455793,0.4886,37.45,62849.375
Greece,0.72770864,0.4452,32.64,33502.75
Hungary,0.6652784,0.4294,32.89,37662.676
India,2.9499717,0.6399,58.7,7930.0913
Ireland,0.64862794,0.477,36.85,96371.29
Latvia,3.3955626,0.4914,35.51,35208.195
Lithuania,3.3630786,0.5038,37.35,43062.324
Luxembourg,0.6449917,0.4607,33.45,132724.75
Malaysia,0.927017,0.4768,35.95,31300.508
Malta,0.992033,0.4706,35.33,53391.438
Mauritania,1.0743763,0.5164,39.94,6162.2104
Moldova,3.8874729,0.4869,35.06,14621.24
Netherlands,0.71275806,0.4122,29.37,67847.85
New Zealand,2.2848427,0.4444,33.97,47362.32
Peru,7.349927,0.6715,56.41,15463.543
Poland,0.66185516,0.4841,37.7,38181.62
Portugal,0.7057768,0.4742,35.84,40188.285
Romania,1.2511832,0.5397,41.14,36399.625
Serbia,1.2632512,0.5098,37.86,21541.215
Slovakia,1.3943354,0.3785,26.78,37209.535
Slovenia,0.6719658,0.4075,29.57,44569.586
South Korea,0.5737152,0.4977,36.77,49790.867
Spain,0.6977952,0.4479,34.12,46896.418
Sweden,1.0798584,0.4038,30.49,61601.63
Switzerland,0.5362853,0.4127,30.84,79596.7
Turkey,2.395801,0.6363,54.48,28741.053
Uganda,10.972185,0.6291,53.05,2689.4102
United Kingdom,1.1503338,0.4663,35.79,52515.684
United States,4.934722,0.5805,45.67,69112.6
Uruguay,11.597768,0.5649,45.2,30010.574
World,5.396274,0.6752,53.33,19552.084
Zimbabwe,5.1730795,0.6851,58.95,4993.8438
