Entity,HomicideRate,Gini,Share10,GDPperCapita
Albania,2.3160856,0.485,34.35,18212.871
Argentina,4.6212635,0.5714,42.67,26300.273
Australia,0.74355406,0.4921,35.41,58327.414
Belgium,1.0803015,0.4505,32.94,60669.215
Brazil,21.742752,0.7093,59.94,18075.705
Bulgaria,1.2941265,0.5455,43.79,30959.111
Canada,2.0830052,0.4974,36.22,56995.117
Colombia,25.580128,0.7282,60.92,17383.09
Costa Rica,11.620582,0.7081,57.66,23852.926
Croatia,0.8408479,0.472,34.86,36930.285
Cyprus,1.2145978,0.4533,33.64,47632.77
Czechia,0.44631484,0.381,29.03,47796.035
Denmark,0.6317468,0.4412,33.3,69715.18
Dominican Republic,10.536275,0.6268,48.41,22053.459
Ecuador,14.115687,0.6314,47.63,13507.444
El Salvador,17.343956,0.6047,42.89,10809.714
Estonia,1.9523191,0.5336,41.48,44251.54
Finland,1.2813398,0.4352,32.64,56790.375
France,1.1107152,0.4625,34.9,52517.336
Germany,0.83037543,0.4883,37.42,62530.766
Greece,0.84124476,0.4485,33.09,33531.156
Hungary,0.77257067,0.4285,32.84,38887.19
India,2.9224923,0.632,58.19,8050.0186
Ireland,0.4375127,0.4787,36.91,116903.61
Kenya,5.2537465,0.5953,49.7,5338.8525
Latvia,3.0229313,0.4928,35.68,36912.01
Lithuania,2.5765011,0.5039,35.91,45873.527
Luxembourg,0.62473255,0.4539,33.15,136772.44
Moldova,2.1826994,0.4936,35.94,15682.07
Montenegro,2.4840586,0.5055,34.99,23690.078
Netherlands,0.71063733,0.4153,29.65,68573.56
New Zealand,1.1551195,0.4999,38.15,48248.72
Norway,0.5362336,0.399,30.29,88984.14
Peru,8.604808,0.7295,62.41,15280.551
Poland,0.71765995,0.4849,37.74,41059.586
Portugal,0.78914785,0.4656,35.44,38657.668
Romania,1.2676536,0.5402,41.16,37534.156
Serbia,1.1264837,0.506,37.98,23406.404
Slovakia,1.0105169,0.3785,26.78,38346.094
Slovenia,0.42583513,0.4075,29.57,45914.06
South Korea,0.47253147,0.5068,38.31,51718.25
Spain,0.60751224,0.4484,34.27,44251.664
Sweden,1.0848558,0.4014,30.19,62731.7
Switzerland,0.4823692,0.4142,31.04,81001.414
Turkey,2.4975126,0.6023,52.01,32105.547
United Kingdom,1.1186842,0.4683,36,51004.426
United States,6.779722,0.5831,46.07,71307.4
Uruguay,9.008759,0.5748,45.9,29431.885
World,5.511355,0.6789,53.88,19866.768
